method,model_name,split,seed,threshold_source,label,f1,auprc,gold,pred,gold_rate,pred_rate,source_file
asl,microsoft/deberta-v3-base,test,1701,provided,Power: resources,0.3371054198927933,0.27033816839209407,805.0,874.0,0.05525430709039742,0.059990390555288625,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Face,0.19114219114219114,0.1221089418191428,267.0,162.0,0.018326583842405108,0.011119500308875008,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Security: personal,0.30322580645161284,0.20942350712668845,352.0,268.0,0.02416088956002471,0.01839522273320063,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Security: societal,0.4053751399776036,0.3698761443783642,1151.0,1528.0,0.07900336330564899,0.1048802251355618,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Tradition,0.4529262086513995,0.4073773143044376,196.0,197.0,0.01345322259592285,0.013521861486718375,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Conformity: rules,0.36489607390300227,0.30312401464311345,911.0,821.0,0.06253002951472304,0.05635252934312582,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Conformity: interpersonal,0.10222222222222223,0.05524877061394312,195.0,255.0,0.013384583705127325,0.01750291715285881,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Humility,0.058064516129032254,0.03891291307676054,30.0,280.0,0.0020591667238657424,0.019218889422746927,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Benevolence: caring,0.18209408194233684,0.12566304428457326,324.0,335.0,0.022239000617750016,0.02299402841650079,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Benevolence: dependability,0.2545454545454545,0.17332162137497206,288.0,317.0,0.019768000549111125,0.021758528382181345,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Universalism: concern,0.34872611464968156,0.3145928904083717,735.0,521.0,0.05044958473471069,0.03576086210446839,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Universalism: nature,0.5327754532775453,0.4886488034968351,293.0,424.0,0.02011119500308875,0.02910288969730249,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1701,provided,Universalism: tolerance,0.24651162790697675,0.14554602594222146,171.0,259.0,0.011737250326034732,0.01777747271604091,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Self-direction: thought,0.13114754098360656,0.06724840154742129,171.0,256.0,0.011737250326034732,0.017571556043654336,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Self-direction: action,0.1769316909294513,0.14587653720949706,512.0,381.0,0.03514311208730867,0.026151417393094928,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Stimulation,0.2594142259414226,0.21111789440715226,371.0,346.0,0.02546502848513968,0.02374905621525156,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Hedonism,0.265625,0.17273527165966218,125.0,131.0,0.008579861349440594,0.008991694694213742,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Achievement,0.371603856266433,0.3319886507634339,911.0,1371.0,0.06253002951472304,0.09410391928066443,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Power: dominance,0.336283185840708,0.26538557792429884,631.0,1290.0,0.04331114009197611,0.08854416912622692,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Power: resources,0.3825586178527355,0.32020158386305286,805.0,1626.0,0.05525430709039742,0.11160683643352323,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Face,0.24646464646464647,0.16002475539840894,267.0,228.0,0.018326583842405108,0.015649667101379643,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Security: personal,0.3351063829787234,0.24416179129562493,352.0,400.0,0.02416088956002471,0.0274555563182099,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Security: societal,0.41519318925998694,0.37644857862105835,1151.0,1903.0,0.07900336330564899,0.13061980918388358,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
