method,model_slug,family,objective,comparison,control_geometry,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,schwartz_improvement_macro_f1_mean,schwartz_improvement_macro_f1_std,schwartz_improvement_macro_f1_count,delta_micro_f1_mean,delta_micro_f1_std,delta_micro_f1_count,schwartz_improvement_micro_f1_mean,schwartz_improvement_micro_f1_std,schwartz_improvement_micro_f1_count,delta_opposite_error_rate_mean,delta_opposite_error_rate_std,delta_opposite_error_rate_count,schwartz_improvement_opposite_error_rate_mean,schwartz_improvement_opposite_error_rate_std,schwartz_improvement_opposite_error_rate_count,delta_decoder_geometry_cost_mean,delta_decoder_geometry_cost_std,delta_decoder_geometry_cost_count,schwartz_improvement_decoder_geometry_cost_mean,schwartz_improvement_decoder_geometry_cost_std,schwartz_improvement_decoder_geometry_cost_count
bce,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,0.0008459913543096,0.0005253940493306,5,0.0008459913543096,0.0005253940493306,5,0.0002286886221522,0.0005124597657103,5,0.0002286886221522,0.0005124597657103,5,-0.0028265889472768,0.0017032789854952,5,0.0028265889472768,0.0017032789854952,5,-0.014826075369263,0.0018988370863999,5,0.014826075369263,0.0018988370863999,5
bce,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,0.0008104059370182,0.0005300087707382,5,0.0008104059370182,0.0005300087707382,5,0.0001568143984029,0.000503384329666,5,0.0001568143984029,0.000503384329666,5,-0.0027447851609987,0.0017522086111056,5,0.0027447851609987,0.0017522086111056,5,-0.014482646284438,0.0020295817242858,5,0.014482646284438,0.0020295817242858,5
