method,model_name,split,threshold_source,micro_f1_mean,micro_f1_std,micro_f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,macro_auprc_mean,macro_auprc_std,macro_auprc_count,micro_auprc_mean,micro_auprc_std,micro_auprc_count,circular_error_mean,circular_error_std,circular_error_count,opposite_value_activation_mean,opposite_value_activation_std,opposite_value_activation_count,neighbor_error_rate_mean,neighbor_error_rate_std,neighbor_error_rate_count,opposite_error_rate_mean,opposite_error_rate_std,opposite_error_rate_count,confusion_distance_correlation_mean,confusion_distance_correlation_std,confusion_distance_correlation_count,micro_f1_mean_std,macro_f1_mean_std,macro_auprc_mean_std,micro_auprc_mean_std,circular_error_mean_std,opposite_value_activation_mean_std,neighbor_error_rate_mean_std,opposite_error_rate_mean_std,confusion_distance_correlation_mean_std
asl,microsoft/deberta-v3-base,test,provided,0.3305887539001507,0.02189789126323767,5,0.28325408879654496,0.019325469282062375,5,0.22353936975636035,0.024041240753259037,5,0.26139780403956536,0.02803626780835465,5,0.3735122867413547,0.18124080629998293,5,0.14920842650745542,0.07438857104805036,5,0.1988914056084298,0.004677776163774224,5,0.4818945370774707,0.01180565417713627,5,-0.12466561616153675,0.015626841106726998,5,0.3306 ± 0.0219,0.2833 ± 0.0193,0.2235 ± 0.0240,0.2614 ± 0.0280,0.3735 ± 0.1812,0.1492 ± 0.0744,0.1989 ± 0.0047,0.4819 ± 0.0118,-0.1247 ± 0.0156
bce,microsoft/deberta-v3-base,test,provided,0.34248706368544946,0.006006002554607029,5,0.2933680476244247,0.0036821439293789155,5,0.23534219740720985,0.00673696341970722,5,0.2839753042332054,0.010887489372085122,5,0.1341952511891756,0.013770527493124171,5,0.048789045338924204,0.005130590005710546,5,0.19147695574612295,0.003826908725938634,5,0.5091620708691835,0.009644823153172201,5,-0.13726488510288534,0.009701293401326402,5,0.3425 ± 0.0060,0.2934 ± 0.0037,0.2353 ± 0.0067,0.2840 ± 0.0109,0.1342 ± 0.0138,0.0488 ± 0.0051,0.1915 ± 0.0038,0.5092 ± 0.0096,-0.1373 ± 0.0097
empirical_structure,microsoft/deberta-v3-base,test,provided,0.3401271899136434,0.004782874552622777,5,0.29452100526045455,0.005274333391777528,5,0.23557286574268693,0.007447187938149546,5,0.28349075878984337,0.010540487432846163,5,0.12690555384943172,0.010081704061878366,5,0.045586149935373,0.003820271364138207,5,0.19261626834478965,0.005061604671973638,5,0.5129968032650277,0.014128435225311223,5,-0.13967872744022566,0.009538808332212372,5,0.3401 ± 0.0048,0.2945 ± 0.0053,0.2356 ± 0.0074,0.2835 ± 0.0105,0.1269 ± 0.0101,0.0456 ± 0.0038,0.1926 ± 0.0051,0.5130 ± 0.0141,-0.1397 ± 0.0095
random_geoloss,microsoft/deberta-v3-base,test,provided,0.3438677466129148,0.00848423291682658,5,0.2948860389099229,0.0058170962322016155,5,0.23528931893471072,0.0059307485581841365,5,0.28559252114414224,0.00840259487590838,5,0.12728686705152964,0.010528751691592536,5,0.046316546404066204,0.003798611290818826,5,0.18820080946760948,0.004149335153515688,5,0.5081290738364754,0.005943482217098309,5,-0.1233223254831397,0.011628863186670819,5,0.3439 ± 0.0085,0.2949 ± 0.0058,0.2353 ± 0.0059,0.2856 ± 0.0084,0.1273 ± 0.0105,0.0463 ± 0.0038,0.1882 ± 0.0041,0.5081 ± 0.0059,-0.1233 ± 0.0116
schwartz_geoloss,microsoft/deberta-v3-base,test,provided,0.34209609429666105,0.00856076972248153,5,0.2958487541078258,0.0050956087296373746,5,0.2356030006245006,0.00513151469480743,5,0.2885080764723772,0.004389171979466341,5,0.13045121737087195,0.009574837904667151,5,0.04696250620198581,0.004034669262997121,5,0.1907332872793761,0.006785579420974814,5,0.5093620147174903,0.008449679158248917,5,-0.12939457790912118,0.020413072604993858,5,0.3421 ± 0.0086,0.2958 ± 0.0051,0.2356 ± 0.0051,0.2885 ± 0.0044,0.1305 ± 0.0096,0.0470 ± 0.0040,0.1907 ± 0.0068,0.5094 ± 0.0084,-0.1294 ± 0.0204
schwartz_geosmooth,microsoft/deberta-v3-base,test,provided,0.1656359916119556,0.010547783363289535,5,0.1651295834921921,0.006330503279186666,5,0.11818698237138618,0.005292122048665005,5,0.1341102286388356,0.008001313236830433,5,0.6987705695713788,0.07581791277438897,5,0.22914539378025528,0.026093743157914503,5,0.4207243523293892,0.02530634304208622,5,0.29518961599392246,0.009315513452231524,5,-0.39351250401443016,0.03060012701028956,5,0.1656 ± 0.0105,0.1651 ± 0.0063,0.1182 ± 0.0053,0.1341 ± 0.0080,0.6988 ± 0.0758,0.2291 ± 0.0261,0.4207 ± 0.0253,0.2952 ± 0.0093,-0.3935 ± 0.0306
