method,model_name,split,threshold_source,label,f1_mean,f1_std,f1_count,auprc_mean,auprc_std,auprc_count,gold_mean,gold_std,gold_count,pred_mean,pred_std,pred_count,gold_rate_mean,gold_rate_std,gold_rate_count,pred_rate_mean,pred_rate_std,pred_rate_count,f1_mean_std,auprc_mean_std,gold_mean_std,pred_mean_std,gold_rate_mean_std,pred_rate_mean_std
asl,microsoft/deberta-v3-base,test,provided,Self-direction: action,0.17437705653409422,0.01700336427173823,5,0.12301861948508823,0.020280696205403733,5,512.0,0.0,5,466.8,84.61501048868338,5,0.03514311208730867,0.0,5,0.03204063422335095,0.005807880464594919,5,0.1744 ± 0.0170,0.1230 ± 0.0203,512.0000 ± 0.0000,466.8000 ± 84.6150,0.0351 ± 0.0000,0.0320 ± 0.0058
asl,microsoft/deberta-v3-base,test,provided,Self-direction: thought,0.08121216457100454,0.03377605616473081,5,0.050688220739374935,0.01541520491320105,5,171.0,0.0,5,229.2,169.77838496110158,5,0.011737250326034732,0.0,5,0.01573203377033427,0.011653400024785614,5,0.0812 ± 0.0338,0.0507 ± 0.0154,171.0000 ± 0.0000,229.2000 ± 169.7784,0.0117 ± 0.0000,0.0157 ± 0.0117
asl,microsoft/deberta-v3-base,test,provided,Stimulation,0.2625752370649679,0.014235207427834897,5,0.18707512728716952,0.017976534646071372,5,371.0,0.0,5,381.2,37.292090314167154,5,0.02546502848513968,0.0,5,0.026165145171254033,0.0025596877146109665,5,0.2626 ± 0.0142,0.1871 ± 0.0180,371.0000 ± 0.0000,381.2000 ± 37.2921,0.0255 ± 0.0000,0.0262 ± 0.0026
asl,microsoft/deberta-v3-base,test,provided,Tradition,0.45067146236074934,0.023566267790152834,5,0.409635252694511,0.026722615082224406,5,196.0,0.0,5,228.4,61.439401038747114,5,0.01345322259592285,0.0,5,0.01567712265769785,0.004217132338441013,5,0.4507 ± 0.0236,0.4096 ± 0.0267,196.0000 ± 0.0000,228.4000 ± 61.4394,0.0135 ± 0.0000,0.0157 ± 0.0042
asl,microsoft/deberta-v3-base,test,provided,Universalism: concern,0.38735294413217264,0.03557787624120559,5,0.33825460600748425,0.037523474515083456,5,735.0,0.0,5,801.8,244.6767254971343,5,0.05044958473471069,0.0,5,0.05503466263985174,0.01679433904160438,5,0.3874 ± 0.0356,0.3383 ± 0.0375,735.0000 ± 0.0000,801.8000 ± 244.6767,0.0504 ± 0.0000,0.0550 ± 0.0168
asl,microsoft/deberta-v3-base,test,provided,Universalism: nature,0.5513225489495002,0.01917147454485528,5,0.4922479934282464,0.0291851032063363,5,293.0,0.0,5,390.4,40.3645884408599,5,0.02011119500308875,0.0,5,0.02679662296657286,0.002770580577998481,5,0.5513 ± 0.0192,0.4922 ± 0.0292,293.0000 ± 0.0000,390.4000 ± 40.3646,0.0201 ± 0.0000,0.0268 ± 0.0028
asl,microsoft/deberta-v3-base,test,provided,Universalism: tolerance,0.21513410398222793,0.026848981678040607,5,0.13716069587431137,0.011886626727754465,5,171.0,0.0,5,181.0,45.63441683641854,5,0.011737250326034732,0.0,5,0.012423639233989979,0.003132295753752389,5,0.2151 ± 0.0268,0.1372 ± 0.0119,171.0000 ± 0.0000,181.0000 ± 45.6344,0.0117 ± 0.0000,0.0124 ± 0.0031
bce,microsoft/deberta-v3-base,test,provided,Achievement,0.3544390959866576,0.009058823856427825,5,0.309463085287603,0.011590763212624281,5,911.0,0.0,5,1311.6,197.3811034521795,5,0.06253002951472304,0.0,5,0.09002676916741026,0.01354802000495433,5,0.3544 ± 0.0091,0.3095 ± 0.0116,911.0000 ± 0.0000,1311.6000 ± 197.3811,0.0625 ± 0.0000,0.0900 ± 0.0135
bce,microsoft/deberta-v3-base,test,provided,Benevolence: caring,0.23583554771974988,0.005645033776031605,5,0.15585364340278227,0.012555151086129993,5,324.0,0.0,5,509.0,40.92065493122026,5,0.022239000617750016,0.0,5,0.034937195414922094,0.0028087483651053767,5,0.2358 ± 0.0056,0.1559 ± 0.0126,324.0000 ± 0.0000,509.0000 ± 40.9207,0.0222 ± 0.0000,0.0349 ± 0.0028
bce,microsoft/deberta-v3-base,test,provided,Benevolence: dependability,0.28325794498260415,0.015277544084798271,5,0.21273796487229152,0.010160725809118318,5,288.0,0.0,5,345.0,75.55461600723017,5,0.019768000549111125,0.0,5,0.023680417324456037,0.005185985037218078,5,0.2833 ± 0.0153,0.2127 ± 0.0102,288.0000 ± 0.0000,345.0000 ± 75.5546,0.0198 ± 0.0000,0.0237 ± 0.0052
bce,microsoft/deberta-v3-base,test,provided,Conformity: interpersonal,0.10836436105473438,0.011685168513310779,5,0.06356040894646252,0.005220701551289525,5,195.0,0.0,5,278.4,93.60982854380195,5,0.013384583705127327,0.0,5,0.01910906719747409,0.006425274798805817,5,0.1084 ± 0.0117,0.0636 ± 0.0052,195.0000 ± 0.0000,278.4000 ± 93.6098,0.0134 ± 0.0000,0.0191 ± 0.0064
bce,microsoft/deberta-v3-base,test,provided,Conformity: rules,0.42612055072596544,0.009173226351229349,5,0.3880974694386161,0.014363647067103734,5,911.0,0.0,5,1234.4,83.59007118073296,5,0.06253002951472304,0.0,5,0.08472784679799575,0.005737529767364461,5,0.4261 ± 0.0092,0.3881 ± 0.0144,911.0000 ± 0.0000,1234.4000 ± 83.5901,0.0625 ± 0.0000,0.0847 ± 0.0057
bce,microsoft/deberta-v3-base,test,provided,Face,0.22862981998784404,0.018742879328166127,5,0.14408481659991984,0.017057729536831198,5,267.0,0.0,5,288.4,108.68210524276753,5,0.018326583842405108,0.0,5,0.01979545610542934,0.007459819153186048,5,0.2286 ± 0.0187,0.1441 ± 0.0171,267.0000 ± 0.0000,288.4000 ± 108.6821,0.0183 ± 0.0000,0.0198 ± 0.0075
bce,microsoft/deberta-v3-base,test,provided,Hedonism,0.26988685602676377,0.025782872478238194,5,0.18856743049075014,0.023538283235124115,5,125.0,0.0,5,126.8,27.10535002541011,5,0.008579861349440594,0.0,5,0.008703411352872538,0.0018604811603685984,5,0.2699 ± 0.0258,0.1886 ± 0.0235,125.0000 ± 0.0000,126.8000 ± 27.1054,0.0086 ± 0.0000,0.0087 ± 0.0019
bce,microsoft/deberta-v3-base,test,provided,Humility,0.04272075059684345,0.013702338856829048,5,0.017833294310575072,0.004881166607272463,5,30.0,0.0,5,166.8,157.4633290642618,5,0.0020591667238657424,0.0,5,0.011448966984693528,0.010808108247941645,5,0.0427 ± 0.0137,0.0178 ± 0.0049,30.0000 ± 0.0000,166.8000 ± 157.4633,0.0021 ± 0.0000,0.0114 ± 0.0108
bce,microsoft/deberta-v3-base,test,provided,Power: dominance,0.35015987347337063,0.01935407101561682,5,0.2673165946365123,0.01159371321008793,5,631.0,0.0,5,868.8,40.38811706430494,5,0.04331114009197611,0.0,5,0.059633468323151896,0.0027721955566136964,5,0.3502 ± 0.0194,0.2673 ± 0.0116,631.0000 ± 0.0000,868.8000 ± 40.3881,0.0433 ± 0.0000,0.0596 ± 0.0028
