method,model_slug,geometry,family,objective,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,delta_micro_f1_mean,delta_micro_f1_std,delta_micro_f1_count,delta_macro_auprc_mean,delta_macro_auprc_std,delta_macro_auprc_count,delta_micro_auprc_mean,delta_micro_auprc_std,delta_micro_auprc_count,delta_circular_error_mean,delta_circular_error_std,delta_circular_error_count,delta_opposite_value_activation_mean,delta_opposite_value_activation_std,delta_opposite_value_activation_count,delta_neighbor_error_rate_mean,delta_neighbor_error_rate_std,delta_neighbor_error_rate_count,delta_opposite_error_rate_mean,delta_opposite_error_rate_std,delta_opposite_error_rate_count,delta_confusion_distance_correlation_mean,delta_confusion_distance_correlation_std,delta_confusion_distance_correlation_count,delta_decoder_geometry_cost_mean,delta_decoder_geometry_cost_std,delta_decoder_geometry_cost_count,delta_n_predictions_mean,delta_n_predictions_std,delta_n_predictions_count,delta_prediction_rate_mean,delta_prediction_rate_std,delta_prediction_rate_count
bce,deberta-v3-base,empirical,full,pareto_99,0.00010747390619247899,0.00022812498579387536,5,0.00032665029017937554,0.00030349778212828104,5,-0.0022666856853141683,0.001423683662961067,5,-0.005533495171924063,0.004729601505925236,5,0.13034484045684436,0.074302494528476,5,0.051774804392183627,0.029660397077892007,5,-0.0001900732902663016,0.0003879557585338206,5,0.000838924729084245,0.0006606583526075087,5,-0.0011812073674082296,0.0011685353875549773,5,-0.0005323559285903334,0.0009280324045289256,5,-61.6,50.79665343307569,5,-0.00022253450910549033,0.0001835066288300513,5
bce,deberta-v3-base,random,full,pareto_99,0.00014305932348382955,0.0002490583986504928,5,0.0003985245139287219,0.00032400820503497444,5,-0.0022737693579726824,0.0014270831363664286,5,-0.005529820621857029,0.004725652683143547,5,0.13046564007421824,0.0743219597618416,5,0.05180835036354401,0.02965888482044045,5,-3.5864647176009344e-05,0.00042382411908791764,5,0.0007571209428061554,0.0007515885864068777,5,-0.0015970413090455188,0.00122244457311843,5,-0.0008757850134153644,0.0009990948834901541,5,-54.0,65.7875368135941,5,-0.00019507895278728093,0.00023766229237130683,5
bce,deberta-v3-base,schwartz,full,pareto_99,0.0009534652605021066,0.00040227481763287063,5,0.000555338912331671,0.000550080991655195,5,-0.002844790340591691,0.0008256401051305098,5,-0.006357225382337706,0.003944254721397529,5,0.16059650017531438,0.01593094430367242,5,0.06030798010483344,0.006392542840597387,5,0.0032973765620936068,0.0005722257765249314,5,-0.0019876642181926195,0.0012020372104674755,5,-0.0166681436417544,0.0027198732979612436,5,-0.01535843129785337,0.0023737513394882378,5,-18.8,38.7195041290562,5,-6.791637615557178e-05,0.00013987704292479745,5
