comparison,main_paper_comparison,condition_a,condition_b,condition_a_family,condition_b_family,reference_seed,metric,higher_is_better,score_a,score_b,delta_a_minus_b,delta_ci_low,delta_ci_high,improvement_a_over_b,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed7,llm,schwartz_decoder,7.0,decoder_geometry_cost,False,0.5757443684383586,0.5689569965954295,0.006787371842929102,-0.012406964771098311,0.02508171599994717,-0.006787371842929102,-0.02508171599994717,0.012406964771098311,0.509,14569,2000,42,False
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed11,llm,bce_thresholding,11.0,macro_f1,True,0.2395924129005671,0.2959476920025645,-0.05635527910199739,-0.06689060255103363,-0.04514791498503226,-0.05635527910199739,-0.06689060255103363,-0.04514791498503226,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed11,llm,bce_thresholding,11.0,micro_f1,True,0.2643078796457636,0.3488501420090255,-0.0845422623632619,-0.09251564438526291,-0.0763143170861273,-0.0845422623632619,-0.09251564438526291,-0.0763143170861273,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed11,llm,bce_thresholding,11.0,opposite_error_rate,False,0.5321758389472961,0.5099430084228516,0.02223283052444458,0.01147972047328949,0.03305861055850982,-0.02223283052444458,-0.03305861055850982,-0.01147972047328949,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed11,llm,bce_thresholding,11.0,decoder_geometry_cost,False,0.5633430836399489,0.5550182796312484,0.008324804008700504,-0.014282578436770107,0.026655832130159266,-0.008324804008700504,-0.026655832130159266,0.014282578436770107,0.514,14569,2000,42,False
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed11,llm,bce_thresholding,11.0,macro_f1,True,0.24295939842614378,0.2959476920025645,-0.05298829357642071,-0.0649948907539138,-0.040602182421952814,-0.05298829357642071,-0.0649948907539138,-0.040602182421952814,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed11,llm,bce_thresholding,11.0,micro_f1,True,0.2730267336123114,0.3488501420090255,-0.07582340839671409,-0.08480094141962276,-0.06716004102914722,-0.07582340839671409,-0.08480094141962276,-0.06716004102914722,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed11,llm,bce_thresholding,11.0,opposite_error_rate,False,0.5214343667030334,0.5099430084228516,0.011491358280181885,-0.000376187264919281,0.02262269258499144,-0.011491358280181885,-0.02262269258499144,0.000376187264919281,0.057,14569,2000,42,False
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed11,llm,bce_thresholding,11.0,decoder_geometry_cost,False,0.5757443684383586,0.5550182796312484,0.020726088807110243,-0.0012491380414962612,0.04046242710821032,-0.020726088807110243,-0.04046242710821032,0.0012491380414962612,0.071,14569,2000,42,False
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed11,llm,schwartz_decoder,11.0,macro_f1,True,0.2395924129005671,0.29653388142038195,-0.05694146851981485,-0.06756583698521759,-0.04542819834839224,-0.05694146851981485,-0.06756583698521759,-0.04542819834839224,0.0,14569,2000,42,True
