method,model_slug,objective,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,delta_micro_f1_mean,delta_micro_f1_std,delta_micro_f1_count,delta_macro_auprc_mean,delta_macro_auprc_std,delta_macro_auprc_count,delta_micro_auprc_mean,delta_micro_auprc_std,delta_micro_auprc_count,delta_circular_error_mean,delta_circular_error_std,delta_circular_error_count,delta_opposite_value_activation_mean,delta_opposite_value_activation_std,delta_opposite_value_activation_count,delta_neighbor_error_rate_mean,delta_neighbor_error_rate_std,delta_neighbor_error_rate_count,delta_opposite_error_rate_mean,delta_opposite_error_rate_std,delta_opposite_error_rate_count,delta_confusion_distance_correlation_mean,delta_confusion_distance_correlation_std,delta_confusion_distance_correlation_count,delta_decoder_geometry_cost_mean,delta_decoder_geometry_cost_std,delta_decoder_geometry_cost_count,delta_n_predictions_mean,delta_n_predictions_std,delta_n_predictions_count,delta_prediction_rate_mean,delta_prediction_rate_std,delta_prediction_rate_count
bce,deberta-v3-base,f1,-0.0002840239789635102,0.0008977112666920706,5,0.000263529146115149,0.00040837213686117067,5,-0.0015440552659535367,0.0021271772658346877,5,-0.003048802097406955,0.005291875984416508,5,0.0718373413032507,0.09848267871761789,5,0.027817515690358053,0.03821256490294514,5,-0.00014327579427383385,0.0002989818989114155,5,0.0005105920908012429,0.0010221788030127827,5,-0.0022785590048416847,0.003132487334531381,5,-0.0019112427083142647,0.0026281635278490954,5,-49.8,73.68989075850229,5,-0.00017990614534827142,0.0002662101244477375,5
bce,deberta-v3-base,pareto_95,0.0009193919027957631,0.0004360546657148915,5,0.0005702958160474058,0.0005533549610376779,5,-0.002855360547248198,0.0008257805927008861,5,-0.006362996119306974,0.003944826832836565,5,0.16003624746715725,0.016172376476770025,5,0.06008962287376336,0.00643039715958415,5,0.0032202075154816713,0.0006380808322149361,5,-0.0018452776019721173,0.0010937063207658163,5,-0.016752793137061926,0.0026258233880595816,5,-0.015377863223552345,0.002360782465433316,5,-34.6,52.49095160120457,5,-0.00012499503271185125,0.00018962740498464583,5
bce,deberta-v3-base,pareto_98,0.0009193919027957631,0.0004360546657148915,5,0.0005702958160474058,0.0005533549610376779,5,-0.002855360547248198,0.0008257805927008861,5,-0.006362996119306974,0.003944826832836565,5,0.16003624746715725,0.016172376476770025,5,0.06008962287376336,0.00643039715958415,5,0.0032202075154816713,0.0006380808322149361,5,-0.0018452776019721173,0.0010937063207658163,5,-0.016752793137061926,0.0026258233880595816,5,-0.015377863223552345,0.002360782465433316,5,-34.6,52.49095160120457,5,-0.00012499503271185125,0.00018962740498464583,5
bce,deberta-v3-base,pareto_99,0.0009534652605021066,0.00040227481763287063,5,0.000555338912331671,0.000550080991655195,5,-0.0028447903405916684,0.000825640105130519,5,-0.006357225382337661,0.003944254721397502,5,0.16059650017531438,0.015930944303672413,5,0.060307980104833445,0.006392542840597386,5,0.0032973765620936068,0.0005722257765249314,5,-0.0019876642181926195,0.0012020372104674755,5,-0.016668143641754396,0.0027198732979612874,5,-0.015358431297853392,0.0023737513394883262,5,-18.8,38.7195041290562,5,-6.791637615557178e-05,0.00013987704292479745,5
