method,model_name,split,threshold_source,macro_f1_mean_std,micro_f1_mean_std,macro_auprc_mean_std,circular_error_mean_std,opposite_value_activation_mean_std,neighbor_error_rate_mean_std,confusion_distance_correlation_mean_std,macro_f1_count,micro_f1_count,macro_auprc_count,circular_error_count,opposite_value_activation_count,neighbor_error_rate_count,confusion_distance_correlation_count
asl,microsoft/deberta-v3-base,test,provided,0.0302 ± 0.0000,0.0758 ± 0.0000,0.0559 ± 0.0000,2.0005 ± 0.0000,0.8438 ± 0.0000,0.1404 ± 0.0000,-0.0311 ± 0.0000,1,1,1,1,1,1,1
bce,microsoft/deberta-v3-base,test,provided,0.0415 ± 0.0000,0.0970 ± 0.0000,0.0511 ± 0.0000,1.9479 ± 0.0000,0.8185 ± 0.0000,0.1398 ± 0.0000,-0.0417 ± 0.0000,1,1,1,1,1,1,1
empirical_structure,microsoft/deberta-v3-base,test,provided,0.0260 ± 0.0000,0.0720 ± 0.0000,0.0549 ± 0.0000,1.9619 ± 0.0000,0.8250 ± 0.0000,0.1486 ± 0.0000,-0.0369 ± 0.0000,1,1,1,1,1,1,1
random_geoloss,microsoft/deberta-v3-base,test,provided,0.0380 ± 0.0000,0.0956 ± 0.0000,0.0566 ± 0.0000,1.9698 ± 0.0000,0.8286 ± 0.0000,0.1333 ± 0.0000,-0.0347 ± 0.0000,1,1,1,1,1,1,1
schwartz_geoloss,microsoft/deberta-v3-base,test,provided,0.0299 ± 0.0000,0.0752 ± 0.0000,0.0552 ± 0.0000,1.9692 ± 0.0000,0.8279 ± 0.0000,0.1392 ± 0.0000,-0.0311 ± 0.0000,1,1,1,1,1,1,1
schwartz_geosmooth,microsoft/deberta-v3-base,test,provided,0.0377 ± 0.0000,0.0959 ± 0.0000,0.0436 ± 0.0000,2.0858 ± 0.0000,0.8798 ± 0.0000,0.1339 ± 0.0000,-0.0327 ± 0.0000,1,1,1,1,1,1,1
