method,seed,base_config,params_json,gamma_pos,gamma_neg,clip,lambda_geo,tau,random_seed,best_macro_f1,collapsed,run_name
asl,7,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.03,,,,0.20951792990538332,False,tune_deberta_asl_seed7_gamma_pos0p0_gamma_neg4p0_clip0p03
asl,7,configs/deberta_asl.yaml,"{""clip"":0.05,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.05,,,,0.2200214938837521,False,tune_deberta_asl_seed7_gamma_pos0p0_gamma_neg4p0_clip0p05
asl,7,configs/deberta_asl.yaml,"{""clip"":0.1,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.1,,,,0.18456706323829075,False,tune_deberta_asl_seed7_gamma_pos0p0_gamma_neg4p0_clip0p1
asl,7,configs/deberta_asl.yaml,"{""clip"":0.0,""gamma_neg"":5.0,""gamma_pos"":0.0}",0.0,5.0,0.0,,,,0.17079963020633285,False,tune_deberta_asl_seed7_gamma_pos0p0_gamma_neg5p0_clip0p0
asl,7,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":5.0,""gamma_pos"":0.0}",0.0,5.0,0.03,,,,0.16242880437615462,False,tune_deberta_asl_seed7_gamma_pos0p0_gamma_neg5p0_clip0p03
asl,7,configs/deberta_asl.yaml,"{""clip"":0.05,""gamma_neg"":5.0,""gamma_pos"":0.0}",0.0,5.0,0.05,,,,0.17136562053840756,False,tune_deberta_asl_seed7_gamma_pos0p0_gamma_neg5p0_clip0p05
asl,7,configs/deberta_asl.yaml,"{""clip"":0.1,""gamma_neg"":5.0,""gamma_pos"":0.0}",0.0,5.0,0.1,,,,0.1512537774667875,False,tune_deberta_asl_seed7_gamma_pos0p0_gamma_neg5p0_clip0p1
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.0,""gamma_neg"":2.0,""gamma_pos"":0.0}",0.0,2.0,0.0,,,,0.2645299412138423,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg2p0_clip0p0
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":2.0,""gamma_pos"":0.0}",0.0,2.0,0.03,,,,0.23876519336229496,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg2p0_clip0p03
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.05,""gamma_neg"":2.0,""gamma_pos"":0.0}",0.0,2.0,0.05,,,,0.23393220984192153,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg2p0_clip0p05
