method,seed,base_config,params_json,gamma_pos,gamma_neg,clip,lambda_geo,tau,random_seed,best_macro_f1,collapsed,run_name
schwartz_geoloss,1701,configs/deberta_schwartz_geoloss.yaml,"{""lambda_geo"":0.05}",,,,0.05,,,0.2636152206479158,False,tune_deberta_schwartz_geoloss_seed1701_lambda_geo0p05
schwartz_geoloss,1701,configs/deberta_schwartz_geoloss.yaml,"{""lambda_geo"":0.1}",,,,0.1,,,0.26479455075321084,False,tune_deberta_schwartz_geoloss_seed1701_lambda_geo0p1
schwartz_geoloss,1701,configs/deberta_schwartz_geoloss.yaml,"{""lambda_geo"":0.2}",,,,0.2,,,0.2648758023019043,False,tune_deberta_schwartz_geoloss_seed1701_lambda_geo0p2
schwartz_geosmooth,42,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.1}",,,,,0.1,,0.10627117456864385,False,tune_deberta_schwartz_geosmooth_seed42_tau0p1
schwartz_geosmooth,42,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.2}",,,,,0.2,,0.10470689093645011,False,tune_deberta_schwartz_geosmooth_seed42_tau0p2
schwartz_geosmooth,42,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.5}",,,,,0.5,,0.07636479218693207,False,tune_deberta_schwartz_geosmooth_seed42_tau0p5
schwartz_geosmooth,42,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":1.0}",,,,,1.0,,0.07315436200227338,False,tune_deberta_schwartz_geosmooth_seed42_tau1p0
schwartz_geosmooth,7,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.1}",,,,,0.1,,0.11278095299193933,False,tune_deberta_schwartz_geosmooth_seed7_tau0p1
schwartz_geosmooth,7,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.2}",,,,,0.2,,0.09675246866397565,False,tune_deberta_schwartz_geosmooth_seed7_tau0p2
schwartz_geosmooth,7,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.5}",,,,,0.5,,0.08217545085022478,False,tune_deberta_schwartz_geosmooth_seed7_tau0p5
schwartz_geosmooth,7,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":1.0}",,,,,1.0,,0.07579158326868622,False,tune_deberta_schwartz_geosmooth_seed7_tau1p0
schwartz_geosmooth,1701,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.1}",,,,,0.1,,0.11979288665826121,False,tune_deberta_schwartz_geosmooth_seed1701_tau0p1
schwartz_geosmooth,1701,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.2}",,,,,0.2,,0.10128226717308712,False,tune_deberta_schwartz_geosmooth_seed1701_tau0p2
schwartz_geosmooth,1701,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":0.5}",,,,,0.5,,0.07503459601925722,False,tune_deberta_schwartz_geosmooth_seed1701_tau0p5
schwartz_geosmooth,1701,configs/deberta_schwartz_geosmooth.yaml,"{""tau"":1.0}",,,,,1.0,,0.08022267209203324,False,tune_deberta_schwartz_geosmooth_seed1701_tau1p0
