method,model_slug,geometry,family,objective,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,delta_micro_f1_mean,delta_micro_f1_std,delta_micro_f1_count,delta_macro_auprc_mean,delta_macro_auprc_std,delta_macro_auprc_count,delta_micro_auprc_mean,delta_micro_auprc_std,delta_micro_auprc_count,delta_circular_error_mean,delta_circular_error_std,delta_circular_error_count,delta_opposite_value_activation_mean,delta_opposite_value_activation_std,delta_opposite_value_activation_count,delta_neighbor_error_rate_mean,delta_neighbor_error_rate_std,delta_neighbor_error_rate_count,delta_opposite_error_rate_mean,delta_opposite_error_rate_std,delta_opposite_error_rate_count,delta_confusion_distance_correlation_mean,delta_confusion_distance_correlation_std,delta_confusion_distance_correlation_count,delta_decoder_geometry_cost_mean,delta_decoder_geometry_cost_std,delta_decoder_geometry_cost_count,delta_n_predictions_mean,delta_n_predictions_std,delta_n_predictions_count,delta_prediction_rate_mean,delta_prediction_rate_std,delta_prediction_rate_count
bce,deberta-v3-base,empirical,cardinality_only,f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
bce,deberta-v3-base,empirical,cardinality_only,pareto_95,0.0001031470256720457,0.0002536872392786464,5,0.0003077376184931868,0.00036553573354075245,5,-0.0018400744496223863,0.0017581772407591048,5,-0.004114016305962143,0.005183713830959143,5,0.10067403906117459,0.09265073263846377,5,0.04026064454370458,0.03708365001660362,5,-7.626024786779872e-05,0.0004046806331424643,5,0.0007191733077361428,0.0007911463858005147,5,-0.0013069424764490523,0.0014217736415122063,5,-0.0006640294165807248,0.0010609044659259392,5,-60.4,56.185407358138825,5,-0.00021819942126577314,0.00020297389683986063,5
bce,deberta-v3-base,empirical,cardinality_only,pareto_98,0.0001031470256720457,0.0002536872392786464,5,0.0003077376184931868,0.00036553573354075245,5,-0.0018400744496223863,0.0017581772407591048,5,-0.004114016305962143,0.005183713830959143,5,0.10067403906117459,0.09265073263846377,5,0.04026064454370458,0.03708365001660362,5,-7.626024786779872e-05,0.0004046806331424643,5,0.0007191733077361428,0.0007911463858005147,5,-0.0013069424764490523,0.0014217736415122063,5,-0.0006640294165807248,0.0010609044659259392,5,-60.4,56.185407358138825,5,-0.00021819942126577314,0.00020297389683986063,5
bce,deberta-v3-base,empirical,cardinality_only,pareto_99,0.0001031470256720457,0.0002536872392786464,5,0.0003077376184931868,0.00036553573354075245,5,-0.0018400744496223863,0.0017581772407591048,5,-0.004114016305962143,0.005183713830959143,5,0.10067403906117459,0.09265073263846377,5,0.04026064454370458,0.03708365001660362,5,-7.626024786779872e-05,0.0004046806331424643,5,0.0007191733077361428,0.0007911463858005147,5,-0.0013069424764490523,0.0014217736415122063,5,-0.0006640294165807248,0.0010609044659259392,5,-60.4,56.185407358138825,5,-0.00021819942126577314,0.00020297389683986063,5
bce,deberta-v3-base,empirical,full,f1,3.065704340853293e-05,6.855123305064148e-05,5,3.3305395351723724e-05,7.447312802395976e-05,5,-0.0008831294886173291,0.0019747375694829745,5,-0.0005902808088730672,0.001319908014453739,5,0.03591106818302389,0.08029958960187128,5,0.01385534264019277,0.03098148799502244,5,-0.00020997081608031264,0.00046950901804668503,5,0.0004037644462551615,0.0009028447487241015,5,-2.850440398596832e-05,6.373778497074112e-05,5,0.00016528922618890273,0.000369597945706725,5,-8.0,17.88854381999832,5,-2.890058559811559e-05,6.462367398693788e-05,5
bce,deberta-v3-base,empirical,full,pareto_95,-6.1011536805088976e-05,0.00043373401573467774,5,0.0009765445912550908,0.001574824383046322,5,-0.002288473146145742,0.00145070941975909,5,-0.005460272390916132,0.004599830957606416,5,0.12198907213862631,0.0685049812267109,5,0.048411835122585664,0.02724818603283916,5,-0.0009056098314504102,0.0016600820596702351,5,0.0033959280865185626,0.005892529977865532,5,-0.002029993977198108,0.002884446079635423,5,0.00046032427787001673,0.0015567636943720445,5,-244.2,439.5619410276554,5,-0.0008821903753824814,0.0015879496877929551,5
bce,deberta-v3-base,empirical,full,pareto_98,0.00010747390619247899,0.00022812498579387536,5,0.00032665029017937554,0.00030349778212828104,5,-0.0022666856853141458,0.0014236836629610543,5,-0.005533495171924007,0.004729601505925281,5,0.13034484045684439,0.074302494528476,5,0.051774804392183627,0.029660397077892007,5,-0.0001900732902663016,0.0003879557585338206,5,0.000838924729084245,0.0006606583526075087,5,-0.0011812073674082213,0.0011685353875550222,5,-0.0005323559285903112,0.0009280324045289496,5,-61.6,50.79665343307569,5,-0.00022253450910549033,0.0001835066288300513,5
bce,deberta-v3-base,empirical,full,pareto_99,0.00010747390619247899,0.00022812498579387536,5,0.00032665029017937554,0.00030349778212828104,5,-0.0022666856853141458,0.0014236836629610543,5,-0.005533495171924007,0.004729601505925281,5,0.13034484045684439,0.074302494528476,5,0.051774804392183627,0.029660397077892007,5,-0.0001900732902663016,0.0003879557585338206,5,0.000838924729084245,0.0006606583526075087,5,-0.0011812073674082213,0.0011685353875550222,5,-0.0005323559285903112,0.0009280324045289496,5,-61.6,50.79665343307569,5,-0.00022253450910549033,0.0001835066288300513,5
bce,deberta-v3-base,empirical,neighbor_only,f1,3.065704340853293e-05,6.855123305064148e-05,5,3.3305395351723724e-05,7.447312802395976e-05,5,-0.0008831294886173291,0.0019747375694829745,5,-0.0005902808088730672,0.001319908014453739,5,0.03591106818302389,0.08029958960187128,5,0.01385534264019277,0.03098148799502244,5,-0.00020997081608031264,0.00046950901804668503,5,0.0004037644462551615,0.0009028447487241015,5,-2.850440398596832e-05,6.373778497074112e-05,5,0.00016528922618890273,0.000369597945706725,5,-8.0,17.88854381999832,5,-2.890058559811559e-05,6.462367398693788e-05,5
bce,deberta-v3-base,empirical,neighbor_only,pareto_95,-1.1716526605831667e-05,8.133682111178872e-05,5,4.791324100231753e-05,7.340190045462246e-05,5,-0.000876863564570296,0.0012009497687051009,5,-0.001884385673893052,0.003089535765426829,5,0.06126202823147424,0.08397022500323818,5,0.02395327227063749,0.03284731746180181,5,-0.00023154796951863622,0.00032433599391263945,5,0.0003748478175119363,0.000513459046843967,5,0.0001608591348966737,0.0004587794259795971,5,0.0003041589828899793,0.0005425030631695335,5,-5.2,7.429670248402685,5,-1.8785380638774996e-05,2.684022762246726e-05,5
bce,deberta-v3-base,empirical,neighbor_only,pareto_98,-1.1716526605831667e-05,8.133682111178872e-05,5,4.791324100231753e-05,7.340190045462246e-05,5,-0.000876863564570296,0.0012009497687051009,5,-0.001884385673893052,0.003089535765426829,5,0.06126202823147424,0.08397022500323818,5,0.02395327227063749,0.03284731746180181,5,-0.00023154796951863622,0.00032433599391263945,5,0.0003748478175119363,0.000513459046843967,5,0.0001608591348966737,0.0004587794259795971,5,0.0003041589828899793,0.0005425030631695335,5,-5.2,7.429670248402685,5,-1.8785380638774996e-05,2.684022762246726e-05,5
bce,deberta-v3-base,empirical,neighbor_only,pareto_99,-1.1716526605831667e-05,8.133682111178872e-05,5,4.791324100231753e-05,7.340190045462246e-05,5,-0.000876863564570296,0.0012009497687051009,5,-0.001884385673893052,0.003089535765426829,5,0.06126202823147424,0.08397022500323818,5,0.02395327227063749,0.03284731746180181,5,-0.00023154796951863622,0.00032433599391263945,5,0.0003748478175119363,0.000513459046843967,5,0.0001608591348966737,0.0004587794259795971,5,0.0003041589828899793,0.0005425030631695335,5,-5.2,7.429670248402685,5,-1.8785380638774996e-05,2.684022762246726e-05,5
bce,deberta-v3-base,empirical,neighbor_opposite,f1,3.065704340853293e-05,6.855123305064148e-05,5,3.3305395351723724e-05,7.447312802395976e-05,5,-0.0008831294886173291,0.0019747375694829745,5,-0.0005902808088730672,0.001319908014453739,5,0.03591106818302389,0.08029958960187128,5,0.01385534264019277,0.03098148799502244,5,-0.00020997081608031264,0.00046950901804668503,5,0.0004037644462551615,0.0009028447487241015,5,-2.850440398596832e-05,6.373778497074112e-05,5,0.00016528922618890273,0.000369597945706725,5,-8.0,17.88854381999832,5,-2.890058559811559e-05,6.462367398693788e-05,5
bce,deberta-v3-base,empirical,neighbor_opposite,pareto_95,-0.00015592829654164085,0.000326154409460224,5,0.0007971305642460625,0.0016499324988628289,5,-0.0016285111835921628,0.0016184622444061884,5,-0.004269893005637082,0.005173047244382263,5,0.09024430600100383,0.0825353137349215,5,0.0355560303478237,0.03251547602514825,5,-0.000990175087348305,0.0015948739557068337,5,0.0031495104152770236,0.006013086753258082,5,-0.0012401362976140363,0.0032538941062135356,5,0.0009191990303146769,0.0013107272733394793,5,-210.6,456.4326894515773,5,-0.0007608079158703956,0.001648896501409184,5
bce,deberta-v3-base,empirical,neighbor_opposite,pareto_98,-1.1716526605831667e-05,8.133682111178872e-05,5,4.791324100231753e-05,7.340190045462246e-05,5,-0.000876863564570296,0.0012009497687051009,5,-0.001884385673893052,0.003089535765426829,5,0.06126202823147424,0.08397022500323818,5,0.02395327227063749,0.03284731746180181,5,-0.00023154796951863622,0.00032433599391263945,5,0.0003748478175119363,0.000513459046843967,5,0.0001608591348966737,0.0004587794259795971,5,0.0003041589828899793,0.0005425030631695335,5,-5.2,7.429670248402685,5,-1.8785380638774996e-05,2.684022762246726e-05,5
bce,deberta-v3-base,empirical,neighbor_opposite,pareto_99,-1.1716526605831667e-05,8.133682111178872e-05,5,4.791324100231753e-05,7.340190045462246e-05,5,-0.000876863564570296,0.0012009497687051009,5,-0.001884385673893052,0.003089535765426829,5,0.06126202823147424,0.08397022500323818,5,0.02395327227063749,0.03284731746180181,5,-0.00023154796951863622,0.00032433599391263945,5,0.0003748478175119363,0.000513459046843967,5,0.0001608591348966737,0.0004587794259795971,5,0.0003041589828899793,0.0005425030631695335,5,-5.2,7.429670248402685,5,-1.8785380638774996e-05,2.684022762246726e-05,5
bce,deberta-v3-base,empirical,opposite_only,f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
bce,deberta-v3-base,empirical,opposite_only,pareto_95,-0.00016422535605873368,0.00036721905977643544,5,0.000717842102522126,0.0016051437383508469,5,-0.0007540884235450962,0.001686192976092488,5,-0.002387334860290369,0.0053382430326642276,5,0.028947373462682592,0.06472829483263175,5,0.011589003357618883,0.025913799299109128,5,-0.0007819829673247569,0.0017485670721851534,5,0.0027896052968062746,0.006237747074052307,5,-0.0013910079277031917,0.0031103882835854493,5,0.0006166144017783149,0.0013787917182816792,5,-206.0,460.63000336495674,5,-0.0007441900791514799,0.0016640596051636582,5
bce,deberta-v3-base,empirical,opposite_only,pareto_98,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
bce,deberta-v3-base,empirical,opposite_only,pareto_99,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
bce,deberta-v3-base,random,cardinality_only,f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
bce,deberta-v3-base,random,cardinality_only,pareto_95,0.0001031470256720457,0.0002536872392786464,5,0.0003077376184931868,0.00036553573354075245,5,-0.0018400744496223863,0.0017581772407591048,5,-0.004114016305962143,0.005183713830959143,5,0.10067403906117459,0.09265073263846377,5,0.04026064454370458,0.03708365001660362,5,-7.626024786779872e-05,0.0004046806331424643,5,0.0007191733077361428,0.0007911463858005147,5,-0.0013069424764490523,0.0014217736415122063,5,-0.0006640294165807248,0.0010609044659259392,5,-60.4,56.185407358138825,5,-0.00021819942126577314,0.00020297389683986063,5
bce,deberta-v3-base,random,cardinality_only,pareto_98,0.0001031470256720457,0.0002536872392786464,5,0.0003077376184931868,0.00036553573354075245,5,-0.0018400744496223863,0.0017581772407591048,5,-0.004114016305962143,0.005183713830959143,5,0.10067403906117459,0.09265073263846377,5,0.04026064454370458,0.03708365001660362,5,-7.626024786779872e-05,0.0004046806331424643,5,0.0007191733077361428,0.0007911463858005147,5,-0.0013069424764490523,0.0014217736415122063,5,-0.0006640294165807248,0.0010609044659259392,5,-60.4,56.185407358138825,5,-0.00021819942126577314,0.00020297389683986063,5
bce,deberta-v3-base,random,cardinality_only,pareto_99,0.0001031470256720457,0.0002536872392786464,5,0.0003077376184931868,0.00036553573354075245,5,-0.0018400744496223863,0.0017581772407591048,5,-0.004114016305962143,0.005183713830959143,5,0.10067403906117459,0.09265073263846377,5,0.04026064454370458,0.03708365001660362,5,-7.626024786779872e-05,0.0004046806331424643,5,0.0007191733077361428,0.0007911463858005147,5,-0.0013069424764490523,0.0014217736415122063,5,-0.0006640294165807248,0.0010609044659259392,5,-60.4,56.185407358138825,5,-0.00021819942126577314,0.00020297389683986063,5
bce,deberta-v3-base,random,full,f1,-2.8246740100734692e-05,6.316163100801202e-05,5,-9.354387347636495e-05,0.0002091704599717916,5,-0.0008777149330677969,0.001962630255206272,5,-0.0005965578991358411,0.001333944014982204,5,0.03627565857950603,0.08111483851234894,5,0.013987023244515201,0.03127593477760565,5,-0.00014902693894847663,0.0003332343659675048,5,0.00019778511323351733,0.000442260958127638,5,0.000129073186995593,0.0002886164201946878,5,0.00017783136128064482,0.00039764301235484587,5,4.6,10.285912696499032,5,1.66178367189157e-05,3.715861254248757e-05,5
bce,deberta-v3-base,random,full,pareto_95,0.00014305932348382955,0.00024905839865049285,5,0.0003985245139287219,0.00032400820503497444,5,-0.002273769357972649,0.0014270831363664173,5,-0.005529820621856973,0.004725652683143567,5,0.13046564007421826,0.0743219597618416,5,0.05180835036354401,0.029658884820440448,5,-3.5864647176009344e-05,0.00042382411908791764,5,0.0007571209428061554,0.0007515885864068777,5,-0.0015970413090455548,0.001222444573118355,5,-0.0008757850134154088,0.000999094883490088,5,-54.0,65.7875368135941,5,-0.00019507895278728093,0.0002376622923713068,5
bce,deberta-v3-base,random,full,pareto_98,0.00014305932348382955,0.00024905839865049285,5,0.0003985245139287219,0.00032400820503497444,5,-0.002273769357972649,0.0014270831363664173,5,-0.005529820621856973,0.004725652683143567,5,0.13046564007421826,0.0743219597618416,5,0.05180835036354401,0.029658884820440448,5,-3.5864647176009344e-05,0.00042382411908791764,5,0.0007571209428061554,0.0007515885864068777,5,-0.0015970413090455548,0.001222444573118355,5,-0.0008757850134154088,0.000999094883490088,5,-54.0,65.7875368135941,5,-0.00019507895278728093,0.0002376622923713068,5
bce,deberta-v3-base,random,full,pareto_99,0.00014305932348382955,0.00024905839865049285,5,0.0003985245139287219,0.00032400820503497444,5,-0.002273769357972649,0.0014270831363664173,5,-0.005529820621856973,0.004725652683143567,5,0.13046564007421826,0.0743219597618416,5,0.05180835036354401,0.029658884820440448,5,-3.5864647176009344e-05,0.00042382411908791764,5,0.0007571209428061554,0.0007515885864068777,5,-0.0015970413090455548,0.001222444573118355,5,-0.0008757850134154088,0.000999094883490088,5,-54.0,65.7875368135941,5,-0.00019507895278728093,0.0002376622923713068,5
bce,deberta-v3-base,random,neighbor_only,f1,-2.8246740100734692e-05,6.316163100801202e-05,5,-9.354387347636495e-05,0.0002091704599717916,5,-0.0008777149330677969,0.001962630255206272,5,-0.0005965578991358411,0.001333944014982204,5,0.03627565857950603,0.08111483851234894,5,0.013987023244515201,0.03127593477760565,5,-0.00014902693894847663,0.0003332343659675048,5,0.00019778511323351733,0.000442260958127638,5,0.000129073186995593,0.0002886164201946878,5,0.00017783136128064482,0.00039764301235484587,5,4.6,10.285912696499032,5,1.66178367189157e-05,3.715861254248757e-05,5
bce,deberta-v3-base,random,neighbor_only,pareto_95,3.9912297811783846e-05,8.92466110453648e-05,5,9.078689543553508e-05,0.00020300566966002182,5,-0.00043369490835026283,0.0009697712965667287,5,-0.0014158043158948308,0.0031658346931784276,5,0.029791601013043657,0.06661604502371721,5,0.011547705819839422,0.02582145519733089,5,4.039560069178938e-05,9.032730913877859e-05,5,3.794763507001253e-05,8.4853491601903e-05,5,-0.0002900988325965026,0.0006486807098791117,5,-0.00021175559683468405,0.0004734999091383928,5,6.4,14.310835055998655,5,2.3120468478492194e-05,5.1698939189549684e-05,5
bce,deberta-v3-base,random,neighbor_only,pareto_98,3.9912297811783846e-05,8.92466110453648e-05,5,9.078689543553508e-05,0.00020300566966002182,5,-0.00043369490835026283,0.0009697712965667287,5,-0.0014158043158948308,0.0031658346931784276,5,0.029791601013043657,0.06661604502371721,5,0.011547705819839422,0.02582145519733089,5,4.039560069178938e-05,9.032730913877859e-05,5,3.794763507001253e-05,8.4853491601903e-05,5,-0.0002900988325965026,0.0006486807098791117,5,-0.00021175559683468405,0.0004734999091383928,5,6.4,14.310835055998655,5,2.3120468478492194e-05,5.1698939189549684e-05,5
bce,deberta-v3-base,random,neighbor_only,pareto_99,3.9912297811783846e-05,8.92466110453648e-05,5,9.078689543553508e-05,0.00020300566966002182,5,-0.00043369490835026283,0.0009697712965667287,5,-0.0014158043158948308,0.0031658346931784276,5,0.029791601013043657,0.06661604502371721,5,0.011547705819839422,0.02582145519733089,5,4.039560069178938e-05,9.032730913877859e-05,5,3.794763507001253e-05,8.4853491601903e-05,5,-0.0002900988325965026,0.0006486807098791117,5,-0.00021175559683468405,0.0004734999091383928,5,6.4,14.310835055998655,5,2.3120468478492194e-05,5.1698939189549684e-05,5
bce,deberta-v3-base,random,neighbor_opposite,f1,-2.8246740100734692e-05,6.316163100801202e-05,5,-9.354387347636495e-05,0.0002091704599717916,5,-0.0008777149330677969,0.001962630255206272,5,-0.0005965578991358411,0.001333944014982204,5,0.03627565857950603,0.08111483851234894,5,0.013987023244515201,0.03127593477760565,5,-0.00014902693894847663,0.0003332343659675048,5,0.00019778511323351733,0.000442260958127638,5,0.000129073186995593,0.0002886164201946878,5,0.00017783136128064482,0.00039764301235484587,5,4.6,10.285912696499032,5,1.66178367189157e-05,3.715861254248757e-05,5
bce,deberta-v3-base,random,neighbor_opposite,pareto_95,3.9912297811783846e-05,8.92466110453648e-05,5,9.078689543553508e-05,0.00020300566966002182,5,-0.00043369490835026283,0.0009697712965667287,5,-0.0014158043158948308,0.0031658346931784276,5,0.029791601013043657,0.06661604502371721,5,0.011547705819839422,0.02582145519733089,5,4.039560069178938e-05,9.032730913877859e-05,5,3.794763507001253e-05,8.4853491601903e-05,5,-0.0002900988325965026,0.0006486807098791117,5,-0.00021175559683468405,0.0004734999091383928,5,6.4,14.310835055998655,5,2.3120468478492194e-05,5.1698939189549684e-05,5
