method,model_slug,geometry,family,objective,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_micro_f1_mean,test_micro_f1_std,test_micro_f1_count,test_macro_auprc_mean,test_macro_auprc_std,test_macro_auprc_count,test_micro_auprc_mean,test_micro_auprc_std,test_micro_auprc_count,test_circular_error_mean,test_circular_error_std,test_circular_error_count,test_opposite_value_activation_mean,test_opposite_value_activation_std,test_opposite_value_activation_count,test_neighbor_error_rate_mean,test_neighbor_error_rate_std,test_neighbor_error_rate_count,test_opposite_error_rate_mean,test_opposite_error_rate_std,test_opposite_error_rate_count,test_confusion_distance_correlation_mean,test_confusion_distance_correlation_std,test_confusion_distance_correlation_count,test_decoder_geometry_cost_mean,test_decoder_geometry_cost_std,test_decoder_geometry_cost_count,test_n_predictions_mean,test_n_predictions_std,test_n_predictions_count,test_prediction_rate_mean,test_prediction_rate_std,test_prediction_rate_count
bce,deberta-v3-base,empirical,cardinality_only,f1,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,empirical,cardinality_only,pareto_95,0.29347119465009674,0.0037192955474470066,5,0.34279480130394263,0.0063284682041566155,5,0.23350212295758746,0.005385796264344013,5,0.2798612879272432,0.00626654472193104,5,0.2348692902503502,0.08936010922832348,5,0.08904968988262879,0.036923418456060474,5,0.19140069549825514,0.0038323407136947865,5,0.5098812441769197,0.009020665131082404,5,-0.13857182757933437,0.008835719939453868,5,0.5627101120958404,0.011624004205854768,5,11657.4,525.5904298976534,5,0.042113210818934224,0.0018987339011009424,5
bce,deberta-v3-base,empirical,cardinality_only,pareto_98,0.29347119465009674,0.0037192955474470066,5,0.34279480130394263,0.0063284682041566155,5,0.23350212295758746,0.005385796264344013,5,0.2798612879272432,0.00626654472193104,5,0.2348692902503502,0.08936010922832348,5,0.08904968988262879,0.036923418456060474,5,0.19140069549825514,0.0038323407136947865,5,0.5098812441769197,0.009020665131082404,5,-0.13857182757933437,0.008835719939453868,5,0.5627101120958404,0.011624004205854768,5,11657.4,525.5904298976534,5,0.042113210818934224,0.0018987339011009424,5
bce,deberta-v3-base,empirical,cardinality_only,pareto_99,0.29347119465009674,0.0037192955474470066,5,0.34279480130394263,0.0063284682041566155,5,0.23350212295758746,0.005385796264344013,5,0.2798612879272432,0.00626654472193104,5,0.2348692902503502,0.08936010922832348,5,0.08904968988262879,0.036923418456060474,5,0.19140069549825514,0.0038323407136947865,5,0.5098812441769197,0.009020665131082404,5,-0.13857182757933437,0.008835719939453868,5,0.5627101120958404,0.011624004205854768,5,11657.4,525.5904298976534,5,0.042113210818934224,0.0018987339011009424,5
bce,deberta-v3-base,empirical,cardinality_only,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,empirical,full,f1,0.29339870466783324,0.0036174710162134695,5,0.34252036908080113,0.005964200368751485,5,0.2344590679185925,0.007818213106036781,5,0.28338502342433225,0.011133323163445391,5,0.1701063193721995,0.0885814122882777,5,0.06264438797911698,0.03313237001874808,5,0.19126698493004263,0.003788116769611096,5,0.5095658353154388,0.009677180663038753,5,-0.13729338950687128,0.009734556959939961,5,0.56353943073861,0.011873861512133934,5,11709.8,464.0266156159581,5,0.042302509654601875,0.0016763301155516162,5
bce,deberta-v3-base,empirical,full,pareto_95,0.29330703608761965,0.0036032082978835686,5,0.3434636082767045,0.007210765832332548,5,0.2330537242610641,0.005641270138993938,5,0.2785150318422892,0.009064035118243692,5,0.25618432332780194,0.06324427610969106,5,0.09720088046150988,0.026440724983099323,5,0.1905713459146725,0.005294343402770177,5,0.5125579989557021,0.011167378203669523,5,-0.13929487908008342,0.009821193995334767,5,0.5638344657902912,0.011101114177262592,5,11473.6,795.9606146035117,5,0.04144921986481751,0.002875465984384695,5
bce,deberta-v3-base,empirical,full,pareto_98,0.2934755215306172,0.0037327746862691404,5,0.34281371397562876,0.006266487613000833,5,0.23307551172189572,0.0056858329851643555,5,0.2784418090612813,0.00896366018963093,5,0.26454009164602,0.06634961206852322,5,0.10056384973110784,0.027848151489443636,5,0.19128688245585662,0.0037329290235957042,5,0.5100009955982678,0.00924298586462832,5,-0.13844609247029355,0.00915111918514227,5,0.5628417855838308,0.011933533196965692,5,11656.2,522.6779122939861,5,0.0421088757310945,0.0018882122180620942,5
bce,deberta-v3-base,empirical,full,pareto_99,0.2934755215306172,0.0037327746862691404,5,0.34281371397562876,0.006266487613000833,5,0.23307551172189572,0.0056858329851643555,5,0.2784418090612813,0.00896366018963093,5,0.26454009164602,0.06634961206852322,5,0.10056384973110784,0.027848151489443636,5,0.19128688245585662,0.0037329290235957042,5,0.5100009955982678,0.00924298586462832,5,-0.13844609247029355,0.00915111918514227,5,0.5628417855838308,0.011933533196965692,5,11656.2,522.6779122939861,5,0.0421088757310945,0.0018882122180620942,5
bce,deberta-v3-base,empirical,full,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,empirical,neighbor_only,f1,0.29339870466783324,0.0036174710162134695,5,0.34252036908080113,0.005964200368751485,5,0.2344590679185925,0.007818213106036781,5,0.28338502342433225,0.011133323163445391,5,0.1701063193721995,0.0885814122882777,5,0.06264438797911698,0.03313237001874808,5,0.19126698493004263,0.003788116769611096,5,0.5095658353154388,0.009677180663038753,5,-0.13729338950687128,0.009734556959939961,5,0.56353943073861,0.011873861512133934,5,11709.8,464.0266156159581,5,0.042302509654601875,0.0016763301155516162,5
bce,deberta-v3-base,empirical,neighbor_only,pareto_95,0.2933563310978189,0.0036958183064787478,5,0.34253497692645174,0.005965376442421788,5,0.23446533384263954,0.007452413870934828,5,0.28209091855931223,0.01337476263895418,5,0.19545727942064983,0.08398868642577625,5,0.0727423176095617,0.032751731984934716,5,0.1912454077766043,0.0036274795295108226,5,0.5095369186866956,0.009464495967129468,5,-0.13710402596798865,0.00992121333371242,5,0.5636783004953111,0.01187181282665033,5,11712.6,478.83849051637435,5,0.04231262485956122,0.0017298390978551235,5
bce,deberta-v3-base,empirical,neighbor_only,pareto_98,0.2933563310978189,0.0036958183064787478,5,0.34253497692645174,0.005965376442421788,5,0.23446533384263954,0.007452413870934828,5,0.28209091855931223,0.01337476263895418,5,0.19545727942064983,0.08398868642577625,5,0.0727423176095617,0.032751731984934716,5,0.1912454077766043,0.0036274795295108226,5,0.5095369186866956,0.009464495967129468,5,-0.13710402596798865,0.00992121333371242,5,0.5636783004953111,0.01187181282665033,5,11712.6,478.83849051637435,5,0.04231262485956122,0.0017298390978551235,5
bce,deberta-v3-base,empirical,neighbor_only,pareto_99,0.2933563310978189,0.0036958183064787478,5,0.34253497692645174,0.005965376442421788,5,0.23446533384263954,0.007452413870934828,5,0.28209091855931223,0.01337476263895418,5,0.19545727942064983,0.08398868642577625,5,0.0727423176095617,0.032751731984934716,5,0.1912454077766043,0.0036274795295108226,5,0.5095369186866956,0.009464495967129468,5,-0.13710402596798865,0.00992121333371242,5,0.5636783004953111,0.01187181282665033,5,11712.6,478.83849051637435,5,0.04231262485956122,0.0017298390978551235,5
bce,deberta-v3-base,empirical,neighbor_only,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,empirical,neighbor_opposite,f1,0.29339870466783324,0.0036174710162134695,5,0.34252036908080113,0.005964200368751485,5,0.2344590679185925,0.007818213106036781,5,0.28338502342433225,0.011133323163445391,5,0.1701063193721995,0.0885814122882777,5,0.06264438797911698,0.03313237001874808,5,0.19126698493004263,0.003788116769611096,5,0.5095658353154388,0.009677180663038753,5,-0.13729338950687128,0.009734556959939961,5,0.56353943073861,0.011873861512133934,5,11709.8,464.0266156159581,5,0.042302509654601875,0.0016763301155516162,5
bce,deberta-v3-base,empirical,neighbor_opposite,pareto_95,0.29321211932788305,0.0035817309409691554,5,0.3432841942496955,0.007086672077755698,5,0.23371368622361768,0.0060515779085837575,5,0.2797054112275682,0.009884565339211714,5,0.22443955719017944,0.07307073264896626,5,0.0843450756867479,0.02899969437465565,5,0.1904867806587746,0.005270571823487575,5,0.5123115812844606,0.01144059903708691,5,-0.13850502140049936,0.010877151153992005,5,0.5642933405427358,0.011380494779497326,5,11507.2,792.768061919752,5,0.041570602324329596,0.0028639326541205095,5
bce,deberta-v3-base,empirical,neighbor_opposite,pareto_98,0.2933563310978189,0.0036958183064787478,5,0.34253497692645174,0.005965376442421788,5,0.23446533384263954,0.007452413870934828,5,0.28209091855931223,0.01337476263895418,5,0.19545727942064983,0.08398868642577625,5,0.0727423176095617,0.032751731984934716,5,0.1912454077766043,0.0036274795295108226,5,0.5095369186866956,0.009464495967129468,5,-0.13710402596798865,0.00992121333371242,5,0.5636783004953111,0.01187181282665033,5,11712.6,478.83849051637435,5,0.04231262485956122,0.0017298390978551235,5
bce,deberta-v3-base,empirical,neighbor_opposite,pareto_99,0.2933563310978189,0.0036958183064787478,5,0.34253497692645174,0.005965376442421788,5,0.23446533384263954,0.007452413870934828,5,0.28209091855931223,0.01337476263895418,5,0.19545727942064983,0.08398868642577625,5,0.0727423176095617,0.032751731984934716,5,0.1912454077766043,0.0036274795295108226,5,0.5095369186866956,0.009464495967129468,5,-0.13710402596798865,0.00992121333371242,5,0.5636783004953111,0.01187181282665033,5,11712.6,478.83849051637435,5,0.04231262485956122,0.0017298390978551235,5
bce,deberta-v3-base,empirical,neighbor_opposite,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
