method,model_slug,objective,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_micro_f1_mean,test_micro_f1_std,test_micro_f1_count,test_macro_auprc_mean,test_macro_auprc_std,test_macro_auprc_count,test_micro_auprc_mean,test_micro_auprc_std,test_micro_auprc_count,test_circular_error_mean,test_circular_error_std,test_circular_error_count,test_opposite_value_activation_mean,test_opposite_value_activation_std,test_opposite_value_activation_count,test_neighbor_error_rate_mean,test_neighbor_error_rate_std,test_neighbor_error_rate_count,test_opposite_error_rate_mean,test_opposite_error_rate_std,test_opposite_error_rate_count,test_confusion_distance_correlation_mean,test_confusion_distance_correlation_std,test_confusion_distance_correlation_count,test_decoder_geometry_cost_mean,test_decoder_geometry_cost_std,test_decoder_geometry_cost_count,test_n_predictions_mean,test_n_predictions_std,test_n_predictions_count,test_prediction_rate_mean,test_prediction_rate_std,test_prediction_rate_count
bce,deberta-v3-base,f1,0.29630508385730386,,1,0.33617000344335674,,1,0.2312928042550224,,1,0.27116088144330946,,1,0.12714188766778417,,1,0.04555671759531583,,1,0.1947362209370943,,1,0.5176442818364215,,1,-0.14557562479692246,,1,0.5668048779765934,,1,11890.0,,1,0.04295349534519943,,1
bce,deberta-v3-base,pareto_95,0.29748236003614675,,1,0.33688657464262906,,1,0.22955949194678668,,1,0.2638257240814199,,1,0.26961983646719784,,1,0.09831915134152656,,1,0.19860996583814347,,1,0.5153728354340912,,1,-0.16258118471672872,,1,0.551401616555506,,1,11918.0,,1,0.04305464739479284,,1
bce,deberta-v3-base,pareto_98,0.29748236003614675,,1,0.33688657464262906,,1,0.22955949194678668,,1,0.2638257240814199,,1,0.26961983646719784,,1,0.09831915134152656,,1,0.19860996583814347,,1,0.5153728354340912,,1,-0.16258118471672872,,1,0.551401616555506,,1,11918.0,,1,0.04305464739479284,,1
bce,deberta-v3-base,pareto_99,0.29748236003614675,,1,0.33688657464262906,,1,0.22955949194678668,,1,0.2638257240814199,,1,0.26961983646719784,,1,0.09831915134152656,,1,0.19860996583814347,,1,0.5153728354340912,,1,-0.16258118471672872,,1,0.551401616555506,,1,11918.0,,1,0.04305464739479284,,1
bce,deberta-v3-base,standard,0.29630508385730386,,1,0.33617000344335674,,1,0.2312928042550224,,1,0.27116088144330946,,1,0.12714188766778417,,1,0.04555671759531583,,1,0.1947362209370943,,1,0.5176442818364215,,1,-0.14557562479692246,,1,0.5668048779765934,,1,11890.0,,1,0.04295349534519943,,1
