method,model_slug,family,objective,comparison,control_geometry,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,schwartz_improvement_macro_f1_mean,schwartz_improvement_macro_f1_std,schwartz_improvement_macro_f1_count,delta_micro_f1_mean,delta_micro_f1_std,delta_micro_f1_count,schwartz_improvement_micro_f1_mean,schwartz_improvement_micro_f1_std,schwartz_improvement_micro_f1_count,delta_opposite_error_rate_mean,delta_opposite_error_rate_std,delta_opposite_error_rate_count,schwartz_improvement_opposite_error_rate_mean,schwartz_improvement_opposite_error_rate_std,schwartz_improvement_opposite_error_rate_count,delta_decoder_geometry_cost_mean,delta_decoder_geometry_cost_std,delta_decoder_geometry_cost_count,schwartz_improvement_decoder_geometry_cost_mean,schwartz_improvement_decoder_geometry_cost_std,schwartz_improvement_decoder_geometry_cost_count
bce,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,0.0008459913543096498,0.0005253940493306397,5,0.0008459913543096498,0.0005253940493306397,5,0.00022868862215227325,0.0005124597657103693,5,0.00022868862215227325,0.0005124597657103693,5,-0.0028265889472768534,0.0017032789854952884,5,0.0028265889472768534,0.0017032789854952884,5,-0.014826075369263036,0.0018988370863999447,5,0.014826075369263036,0.0018988370863999447,5
bce,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,0.000810405937018277,0.0005300087707382162,5,0.000810405937018277,0.0005300087707382162,5,0.00015681439840291577,0.0005033843296660378,5,0.00015681439840291577,0.0005033843296660378,5,-0.002744785160998775,0.0017522086111056356,5,0.002744785160998775,0.0017522086111056356,5,-0.014482646284438006,0.002029581724285877,5,0.014482646284438006,0.002029581724285877,5
